"filename", "language", "TypeScript", "Markdown", "comment", "blank", "total"
"e:\WheelChairMan\src\Config\ProjectConfig.ts", "TypeScript", 9, 0, 14, 10, 33
"e:\WheelChairMan\src\DataTable\DataTableMgr.ts", "TypeScript", 2, 0, 6, 1, 9
"e:\WheelChairMan\src\Data\GameData.ts", "TypeScript", 114, 0, 17, 30, 161
"e:\WheelChairMan\src\Enum\AgreementEnum.ts", "TypeScript", 3, 0, 8, 0, 11
"e:\WheelChairMan\src\Enum\AniEnum.ts", "TypeScript", 2, 0, 7, 1, 10
"e:\WheelChairMan\src\Enum\CurrencyEnum.ts", "TypeScript", 7, 0, 12, 0, 19
"e:\WheelChairMan\src\Enum\DataTableEnum.ts", "TypeScript", 14, 0, 19, 1, 34
"e:\WheelChairMan\src\Enum\EventEnum.ts", "TypeScript", 20, 0, 25, 14, 59
"e:\WheelChairMan\src\Enum\GroundEnum.ts", "TypeScript", 3, 0, 7, 0, 10
"e:\WheelChairMan\src\Enum\ImageEnum.ts", "TypeScript", 13, 0, 18, 0, 31
"e:\WheelChairMan\src\Enum\LanguageEnum.ts", "TypeScript", 4, 0, 9, 1, 14
"e:\WheelChairMan\src\Enum\LocalStorageEnum.ts", "TypeScript", 17, 0, 22, 15, 54
"e:\WheelChairMan\src\Enum\LocalizationEnum.ts", "TypeScript", 70, 0, 13, 17, 100
"e:\WheelChairMan\src\Enum\LuckyBoxEnum.ts", "TypeScript", 7, 0, 12, 0, 19
"e:\WheelChairMan\src\Enum\MusicEnum.ts", "TypeScript", 7, 0, 6, 0, 13
"e:\WheelChairMan\src\Enum\PlayerEnum.ts", "TypeScript", 7, 0, 13, 0, 20
"e:\WheelChairMan\src\Enum\PoolEnum.ts", "TypeScript", 4, 0, 9, 0, 13
"e:\WheelChairMan\src\Enum\RankingEnum.ts", "TypeScript", 6, 0, 11, 0, 17
"e:\WheelChairMan\src\Enum\Scene3dEnum.ts", "TypeScript", 5, 0, 10, 0, 15
"e:\WheelChairMan\src\Enum\SkyBoxEnum.ts", "TypeScript", 5, 0, 7, 0, 12
"e:\WheelChairMan\src\Enum\SoundEnum.ts", "TypeScript", 16, 0, 20, 0, 36
"e:\WheelChairMan\src\Enum\VFXEnum.ts", "TypeScript", 3, 0, 8, 0, 11
"e:\WheelChairMan\src\Enum\ViewEnum.ts", "TypeScript", 22, 0, 27, 0, 49
"e:\WheelChairMan\src\GameEntry.ts", "TypeScript", 33, 0, 12, 9, 54
"e:\WheelChairMan\src\Game\BaseItem\BaseItem.ts", "TypeScript", 93, 0, 33, 20, 146
"e:\WheelChairMan\src\Game\BaseItem\BaseItemMgr.ts", "TypeScript", 133, 0, 31, 25, 189
"e:\WheelChairMan\src\Game\Bullet\BulletItem.ts", "TypeScript", 137, 0, 17, 29, 183
"e:\WheelChairMan\src\Game\Bullet\BulletMgr.ts", "TypeScript", 57, 0, 7, 9, 73
"e:\WheelChairMan\src\Game\CameraItem.ts", "TypeScript", 55, 0, 10, 14, 79
"e:\WheelChairMan\src\Game\Enemy\EnemyMgr.ts", "TypeScript", 174, 0, 8, 33, 215
"e:\WheelChairMan\src\Game\Enemy\ZombieItem.ts", "TypeScript", 194, 0, 18, 57, 269
"e:\WheelChairMan\src\Game\Enum\BaseStatusEnum.ts", "TypeScript", 4, 0, 10, 0, 14
"e:\WheelChairMan\src\Game\Enum\EnemyEnum.ts", "TypeScript", 3, 0, 7, 0, 10
"e:\WheelChairMan\src\Game\Enum\GameStepEnum.ts", "TypeScript", 11, 0, 16, 0, 27
"e:\WheelChairMan\src\Game\Enum\PlayerAniEnum.ts", "TypeScript", 8, 0, 12, 0, 20
"e:\WheelChairMan\src\Game\Enum\PlayerStatusEnum.ts", "TypeScript", 7, 0, 11, 0, 18
"e:\WheelChairMan\src\Game\Enum\ZombieAniEnum.ts", "TypeScript", 5, 0, 9, 0, 14
"e:\WheelChairMan\src\Game\Enum\ZombieStatusEnum.ts", "TypeScript", 5, 0, 9, 0, 14
"e:\WheelChairMan\src\Game\Ground\GroundItem.ts", "TypeScript", 38, 0, 7, 5, 50
"e:\WheelChairMan\src\Game\Ground\GroundMgr.ts", "TypeScript", 65, 0, 7, 23, 95
"e:\WheelChairMan\src\Game\MainGame.ts", "TypeScript", 160, 0, 24, 50, 234
"e:\WheelChairMan\src\Game\Player\PlayerItem.ts", "TypeScript", 258, 0, 14, 63, 335
"e:\WheelChairMan\src\Game\Player\PlayerMgr.ts", "TypeScript", 155, 0, 13, 53, 221
"e:\WheelChairMan\src\Game\Weapon\WeaponItem.ts", "TypeScript", 100, 0, 18, 42, 160
"e:\WheelChairMan\src\Game\Weapon\WeaponMgr.ts", "TypeScript", 58, 0, 9, 13, 80
"e:\WheelChairMan\src\Localization\LocalizationMgr.ts", "TypeScript", 81, 0, 19, 27, 127
"e:\WheelChairMan\src\Localization\LocalizationText.ts", "TypeScript", 48, 0, 8, 2, 58
"e:\WheelChairMan\src\Mgr\AniMgr.ts", "TypeScript", 0, 0, 0, 1, 1
"e:\WheelChairMan\src\Mgr\CurrencyMgr.ts", "TypeScript", 23, 0, 10, 6, 39
"e:\WheelChairMan\src\Mgr\DebugToolMgr.ts", "TypeScript", 2, 0, 7, 1, 10
"e:\WheelChairMan\src\Mgr\EventMgr.ts", "TypeScript", 46, 0, 51, 10, 107
"e:\WheelChairMan\src\Mgr\HttpsMgr.ts", "TypeScript", 0, 0, 0, 1, 1
"e:\WheelChairMan\src\Mgr\LevelMgr.ts", "TypeScript", 21, 0, 9, 7, 37
"e:\WheelChairMan\src\Mgr\LocalMgr.ts", "TypeScript", 11, 0, 17, 7, 35
"e:\WheelChairMan\src\Mgr\SoundMgr.ts", "TypeScript", 101, 0, 14, 39, 154
"e:\WheelChairMan\src\Mgr\VFXMgr.ts", "TypeScript", 44, 0, 8, 5, 57
"e:\WheelChairMan\src\Mgr\VibrateMgr.ts", "TypeScript", 50, 0, 13, 19, 82
"e:\WheelChairMan\src\Platform\IPlatform.ts", "TypeScript", 5, 0, 6, 1, 12
"e:\WheelChairMan\src\Platform\PlatformMgr.ts", "TypeScript", 34, 0, 9, 10, 53
"e:\WheelChairMan\src\Platform\PlatformType.ts", "TypeScript", 14, 0, 15, 11, 40
"e:\WheelChairMan\src\README.md", "Markdown", 0, 49, 0, 49, 98
"e:\WheelChairMan\src\Scene3dBase\Scene3d.ts", "TypeScript", 33, 0, 20, 16, 69
"e:\WheelChairMan\src\Scene3dBase\Scene3dMgr.ts", "TypeScript", 88, 0, 10, 24, 122
"e:\WheelChairMan\src\Scene3d\GameScene.ts", "TypeScript", 44, 0, 7, 14, 65
"e:\WheelChairMan\src\Scene3d\MainScene.ts", "TypeScript", 24, 0, 7, 8, 39
"e:\WheelChairMan\src\Scene3d\SelectPlayerScene.ts", "TypeScript", 51, 0, 8, 6, 65
"e:\WheelChairMan\src\Script3d\Script3d.ts", "TypeScript", 131, 0, 33, 31, 195
"e:\WheelChairMan\src\TestPhy.ts", "TypeScript", 38, 0, 1, 9, 48
"e:\WheelChairMan\src\UIBase\Interface\IUIBase.ts", "TypeScript", 3, 0, 7, 0, 10
"e:\WheelChairMan\src\UIBase\UIBase.ts", "TypeScript", 114, 0, 56, 32, 202
"e:\WheelChairMan\src\UIBase\UIBaseMgr.ts", "TypeScript", 159, 0, 42, 31, 232
"e:\WheelChairMan\src\Url\ResUrl.ts", "TypeScript", 3, 0, 8, 2, 13
"e:\WheelChairMan\src\Url\SceneUrl.ts", "TypeScript", 3, 0, 8, 1, 12
"e:\WheelChairMan\src\Url\SubPackageUrl.ts", "TypeScript", 2, 0, 7, 1, 10
